iter	Passed	Remaining
0	169	168929
1	171	85481
2	173	57544
3	174	43566
4	177	35383
5	179	29688
6	180	25613
7	183	22694
8	184	20338
9	185	18408
10	187	16836
11	188	15511
12	189	14386
13	190	13416
14	191	12574
15	192	11846
16	193	11207
17	194	10627
18	197	10179
19	198	9730
20	199	9305
21	200	8927
22	201	8572
23	202	8251
24	203	7955
25	204	7676
26	205	7418
27	207	7186
28	208	6965
29	209	6761
30	210	6586
31	212	6424
32	213	6262
33	214	6103
34	216	5959
35	217	5816
36	218	5678
37	219	5551
38	220	5428
39	221	5310
40	222	5198
41	223	5092
42	225	5024
43	226	4929
44	227	4834
45	228	4745
46	229	4661
47	230	4579
48	232	4503
49	233	4427
50	234	4356
51	235	4285
52	236	4217
53	237	4152
54	238	4090
55	240	4054
56	241	3996
57	242	3939
58	243	3886
59	244	3833
60	245	3782
61	246	3732
62	247	3684
63	248	3637
64	249	3591
65	250	3547
66	251	3507
67	252	3466
68	255	3443
69	256	3403
70	257	3369
71	258	3333
72	259	3296
73	260	3261
74	261	3226
75	262	3192
76	263	3159
77	264	3126
78	265	3097
79	266	3066
80	267	3037
81	269	3019
82	270	2986
83	271	2960
84	272	2933
85	273	2906
86	274	2880
87	275	2854
88	276	2829
89	277	2805
90	278	2782
91	279	2759
92	280	2737
93	281	2714
94	282	2692
95	284	2683
96	286	2664
97	287	2643
98	288	2622
99	289	2601
100	290	2581
101	291	2562
102	292	2543
103	292	2524
104	293	2505
105	295	2488
106	295	2470
107	296	2452
108	298	2438
109	300	2428
110	301	2413
111	302	2398
112	303	2383
113	305	2370
114	306	2355
115	307	2339
116	307	2322
117	308	2307
118	309	2294
119	311	2281
120	312	2267
121	314	2262
122	315	2248
123	316	2236
124	317	2223
125	318	2210
126	319	2196
127	320	2183
128	321	2170
129	322	2158
130	323	2145
131	324	2133
132	325	2121
133	326	2110
134	327	2100
135	329	2094
136	330	2083
137	331	2072
138	332	2061
139	333	2050
140	334	2039
141	335	2026
142	336	2015
143	337	2006
144	338	1996
145	339	1986
146	340	1976
147	341	1965
148	343	1964
149	344	1954
150	345	1945
151	346	1935
152	347	1925
153	348	1916
154	349	1906
155	350	1898
156	351	1889
157	352	1880
158	353	1872
159	354	1863
160	355	1853
161	356	1845
162	358	1842
163	359	1834
164	360	1826
165	361	1817
166	362	1809
167	364	1802
168	364	1794
169	366	1787
170	367	1779
171	368	1771
172	369	1764
173	370	1758
174	371	1752
175	373	1748
176	374	1742
177	376	1737
178	377	1733
179	380	1732
180	381	1726
181	382	1720
182	384	1715
183	385	1710
184	388	1712
185	390	1709
186	393	1710
187	394	1705
188	396	1702
189	397	1696
190	399	1691
191	400	1686
192	402	1684
193	404	1678
194	405	1673
195	406	1666
196	407	1659
197	408	1653
198	409	1647
199	410	1641
200	411	1634
201	412	1628
202	413	1623
203	414	1617
204	416	1613
205	418	1611
206	419	1605
207	420	1599
208	421	1593
209	422	1587
210	423	1582
211	424	1576
212	425	1570
213	426	1564
214	427	1559
215	428	1553
216	429	1548
217	430	1543
218	431	1538
219	433	1535
220	434	1530
221	435	1525
222	436	1519
223	437	1514
224	438	1509
225	439	1504
226	440	1498
227	441	1493
228	442	1490
229	443	1485
230	444	1480
231	445	1475
232	447	1473
233	448	1469
234	449	1464
235	450	1459
236	451	1454
237	452	1449
238	453	1444
239	454	1439
240	456	1436
241	457	1432
242	458	1428
243	459	1423
244	461	1421
245	462	1417
246	463	1413
247	464	1408
248	465	1403
249	466	1398
250	467	1394
251	468	1390
252	469	1386
253	471	1383
254	472	1379
255	473	1376
256	477	1381
257	479	1378
258	480	1374
259	481	1371
260	484	1370
261	485	1367
262	487	1364
263	489	1363
264	492	1366
265	494	1363
266	495	1360
267	498	1361
268	499	1358
269	501	1355
270	502	1351
271	503	1348
272	504	1344
273	506	1343
274	509	1342
275	510	1339
276	511	1335
277	512	1332
278	514	1328
279	515	1325
280	516	1322
281	517	1318
282	519	1314
283	520	1313
284	522	1309
285	523	1306
286	524	1303
287	527	1303
288	528	1300
289	529	1297
290	531	1294
291	532	1291
292	533	1287
293	534	1284
294	536	1281
295	537	1278
296	539	1275
297	540	1272
298	541	1269
299	542	1265
300	543	1261
301	544	1258
302	545	1254
303	546	1250
304	547	1247
305	548	1243
306	550	1243
307	552	1240
308	553	1238
309	554	1234
310	556	1231
311	556	1228
312	557	1224
313	558	1221
314	560	1218
315	561	1214
316	562	1210
317	563	1207
318	565	1207
319	567	1205
320	568	1203
321	570	1200
322	571	1197
323	572	1193
324	573	1191
325	574	1187
326	575	1184
327	576	1181
328	577	1177
329	580	1177
330	581	1175
331	583	1173
332	584	1170
333	585	1167
334	586	1164
335	587	1161
336	588	1157
337	589	1154
338	590	1151
339	591	1148
340	592	1145
341	595	1146
342	596	1143
343	598	1140
344	600	1139
345	601	1136
346	601	1132
347	602	1129
348	603	1126
349	604	1123
350	605	1120
351	606	1117
352	608	1115
353	610	1114
354	611	1111
355	612	1108
356	614	1106
357	615	1103
358	616	1101
359	617	1098
360	619	1095
361	620	1092
362	621	1089
363	622	1087
